ID,Name,Phone,Rate,Price,Zipcode,State,City,Address,Delivery,Takeout
53,Panes Bread Cafe,(773) 665-0972,4.5,$,60657,IL,Chicago,3002 N Sheffield Ave,Yes,Yes
54,Zizi's Cafe,(773) 697-9228,4.5,$$,60657,IL,Chicago,2825 N Sheffield Ave,Yes,Yes
55,Lowcountry,(773) 996-9997,4.5,$$,60657,IL,Chicago,3343 N Clark St,No,Yes
56,De Quay,(872) 206-8820,4.5,$$$,60614,IL,Chicago,2470 N Lincoln Ave,No,No
57,Antico,(773) 489-4895,4.5,$$$,60647,IL,Chicago,1946 N Leavitt St,No,Yes
58,Fatso's Last Stand,(773) 245-3287,4.5,$,60622,IL,Chicago,2258 W Chicago Ave,Yes,Yes
59,The Office,(312) 226-0868,4.5,$$$$,60607,IL,Chicago,955 W Fulton Market,No,No
60,Au Cheval,(312) 929-4580,4.5,$$,60607,IL,Chicago,800 W Randolph S,No,No
61,Serai,(872) 206-8368,4.5,$$,60647,IL,Chicago,2169 N Milwaukee Ave,Yes,Yes
62,Yuzu Sushi & Robata Grill,(312) 666-4100,4.5,$$,60622,IL,Chicago,1751 W Chicago Ave,Yes,Yes
63,Adams Playground Park,(312) 742-7787,4.5,0,60614,IL,Chicago,1919 N Seminary,No,No
64,Big Shoulders Coffee,(312) 888-3042,4.5,$$,60642,IL,Chicago,1105 W Chicago Ave,No,Yes
65,Everybody's Coffee,(773) 303-6220,5,$,60640,IL,Chicago,935 W Wilson Ave,No,Yes
66,Mana Food Bar,(773) 342-1742,4,$$,60622,IL,Chicago,1742 W Division St,Yes,Yes
67,Staropolska Restaurant,(773) 342-0779,4.5,$$,60618,IL,Chicago,3030 N Milwaukee Ave,Yes,Yes
68,DAVIDsTEA,(773) 697-9737,4.5,$$,60647,IL,Chicago,1645A N Damen Ave,No,Yes
69,Upton's Breakroom,(312) 666-7838,4.5,$,60612,IL,Chicago,2054 W Grand Ave,Yes,Yes
70,Casa Yari,(773) 661-9546,4.5,$$,60647,IL,Chicago,3268 W Fullerton Ave,No,Yes
71,Caffe Umbria,(312) 877-5166,5,$,60654,IL,Chicago,346 N Clark St,No,Yes
72,Lotus Cafe & Juice Bar,(312) 733-7595,4.5,$,60607,IL,Chicago,719 W Maxwell St,Yes,Yes
73,Viaggio Ristorante & Lounge,(312) 829-3333,4.5,$$,60607,IL,Chicago,1330 W Madison St,No,Yes
74,The Empty Bottle,(773) 276-3600,4.5,$,60622,IL,Chicago,1035 N Western Ave,No,No
75,Penumbra Wine Bar,(773) 772-2343,5,$$,60647,IL,Chicago,3309 w Fullerton ave,No,Yes
76,Arbor,(312) 866-0795,4.5,$$,60647,IL,Chicago,2545 W Diversey Ave,No,Yes
77,Inspiration Kitchens,(773) 801-1110,4.5,$$,60624,IL,Chicago,3504 W Lake St,No,Yes
78,Ada Street,(773) 697-7069,4.5,$$$,60642,IL,Chicago,1664 N Ada St,No,No
79,TWO,(312) 624-8363,4.5,$$$,60642,IL,Chicago,1132 W Grand Ave,No,Yes
80,Pollo Express,(312) 829-1550,4.5,$,60608,IL,Chicago,1315 W 18th St,Yes,Yes
81,Beezzee,(773) 525-3570,4.5,$,60657,IL,Chicago,2807 N Sheffield Ave,Yes,Yes
82,Sapori Trattoria,(312) 967-9358,4.5,$$,60614,IL,Chicago,2701 N Halsted St,No,Yes
83,Saucy Porka,(312) 662-1351,4.5,$,60605,IL,Chicago,400 S Financial Pl,Yes,Yes
84,The Violet Hour,(773) 252-1500,4,$$$,60622,IL,Chicago,1520 N Damen Ave,No,No
85,Gyros On The Spit,(773) 698-7999,4.5,$$,60657,IL,Chicago,2826 N Lincoln Ave,Yes,Yes
86,HQ Howard Quintero,(773) 654-1629,4.5,$$,60618,IL,Chicago,4114 N Kedzie Ave,No,Yes
87,Interurban Cafe and Pastry Shop,(773) 698-7739,4.5,$,60614,IL,Chicago,2008 N Halsted St,No,Yes
88,Bang Bang Pie & Biscuits,(773) 276-8888,4,$$,60647,IL,Chicago,2051 N California Ave,Yes,Yes
89,Chicago Raw,(312) 831-2729,4.5,$$,60661,IL,Chicago,131 N Clinton St,No,Yes
90,MK Restaurant,(312) 482-9179,4.5,$$$$,60610,IL,Chicago,868 N Franklin St,No,No
91,Fiore Delicatessen,(312) 942-9419,4.5,$,60612,IL,Chicago,2258 W Erie St,Yes,Yes
92,Do-Rite Donuts & Coffee,(312) 488-2483,4.5,$,60601,IL,Chicago,50 West Randolph Street,No,Yes
93,Cook Au Vin,(773) 489-3141,4.5,$$$$,60614,IL,Chicago,2256 N Elston Ave,No,No
94,En Hakkore 2.0,(773) 278-5959,4.5,$$,60622,IL,Chicago,1467 N Milwaukee Ave,No,Yes
95,Brightwok Kitchen,(312) 583-0729,4.5,$,60603,IL,Chicago,21 E Adams St,Yes,Yes
96,Avec,(312) 377-2002,4.5,$$$,60661,IL,Chicago,615 W Randolph St,No,No
97,Schwa,(773) 252-1466,4,$$$$,60622,IL,Chicago,1466 N Ashland Ave,No,No
98,A Tavola,(773) 276-7567,4.5,$$$,60622,IL,Chicago,2148 W Chicago Ave,No,Yes
99,The Bagelers Coffeehouse,(872) 802-0347,4.5,$,60614,IL,Chicago,2461 N Lincoln Ave,No,Yes
100,Scofflaw,(773) 252-9700,4.5,$$,60647,IL,Chicago,3201 W Armitage Ave,No,No
101,Wildberry Pancakes and Cafe,(312) 938-9777,4.5,$$,60601,IL,Chicago,130 E Randolph St,No,Yes
102,EL Ideas,(312) 226-8144,4.5,$$$$,60608,IL,Chicago,2419 W 14th St,No,No
103,The Panini Republic,(773) 525-2000,4.5,$,60614,IL,Chicago,500 W Diversey Pkwy,Yes,Yes
104,Eddie V's Prime Seafood and Steak,(312) 595-1114,4.5,$$$,60611,IL,Chicago,521 N Rush St,No,No
105,CC Ferns Coffee Bar & Spirits,(773) 384-2547,4.5,$$,60622,IL,Chicago,2806 W Augusta Blvd,No,Yes
106,Ignite Gaming Lounge,(773) 404-7033,4.5,$$,60618,IL,Chicago,3341 N Elston Ave,No,No
107,Hungry Brain,(773) 687-8230,4.5,$,60618,IL,Chicago,2319 W Belmont Ave,No,No
108,Publican Quality Meats,(312) 445-8977,4.5,$$,60607,IL,Chicago,825 W Fulton Market St,No,Yes
109,La Cocina Boricua de la Familia Galarza,(773) 235-7377,4.5,$,60647,IL,Chicago,2420 W Fullerton Ave,No,Yes
110,Buckingham Fountain,(773) 742-7529,4.5,0,60605,IL,Chicago,301 S Columbus Dr,No,No
111,Buona Terra Ristorante,(773) 289-3800,4.5,$$,60647,IL,Chicago,2535 N California Ave,No,Yes
112,Jarabe- Mexican Street Food,(312) 877-5005,4.5,$,60612,IL,Chicago,2255 W Taylor St,Yes,Yes
113,The Aberdeen Tap,(312) 929-3845,4.5,$$,60642,IL,Chicago,440 N Aberdeen St,No,Yes
114,Coalfire Pizza,(312) 226-2625,4,$$,60642,IL,Chicago,1321 W Grand Ave,No,Yes
115,Wasabi,(773) 227-8180,4,$$,60647,IL,Chicago,2115 N Milwaukee Ave,No,Yes
116,Grant Park,(312) 742-7648,4.5,0,60601,IL,Chicago,331 E Randolph St,No,No
117,Punta Cana Restaurant,(773) 292-7400,4.5,$,60647,IL,Chicago,2200 N Kimball Ave,Yes,Yes
118,Breakfast House,(312) 997-2400,4.5,$$,60622,IL,Chicago,1800 W Grand Ave,Yes,Yes
119,Boeufhaus,(773) 661-2116,4.5,$$$,60622,IL,Chicago,1012 N Western Ave,No,No
120,JJ Thai Street Food,(312) 929-4435,4.5,$$,60622,IL,Chicago,1715 W Chicago Ave,Yes,Yes
121,T & T Seafood Restaurant,(773) 961-7016,4.5,$,60625,IL,Chicago,3658 W Lawrence Ave,Yes,Yes
122,The Corner Bar,(000) 000-0000,4.5,$,60647,IL,Chicago,2224 N Leavitt St,No,No
123,Cafecito,(312) 263-4750,4.5,$,60602,IL,Chicago,7 N Wells St,Yes,Yes
124,Irazu,(773) 252-5687,4,$$,60647,IL,Chicago,1865 N Milwaukee Ave,Yes,Yes
125,Vegetarian Express,(773) 880-9155,4.5,$,60657,IL,Chicago,3109 N Halsted St,Yes,Yes
126,The Capital Grille,(312) 337-9400,4.5,$$$,60611,IL,Chicago,633 N Saint Clair St,No,No
127,The Aviary,(312) 226-0868,4,$$$$,60607,IL,Chicago,955 W Fulton Market,No,No
128,Hope Cafe,(312) 857-6499,5,$,60608,IL,Chicago,2431 W Roosevelt Rd,No,Yes
129,Boka,(312) 337-6070,4,$$$,60614,IL,Chicago,1729 N Halsted St,No,No
130,La Strada Cafe Bar,(708) 627-0403,4.5,$,60647,IL,Chicago,2023 N California Ave,No,Yes
131,Pierogi Heaven,(312) 263-9305,4.5,$,60606,IL,Chicago,169 N Wells St,Yes,Yes
132,Hendrickx Belgian Bread Crafter,(312) 649-6717,4.5,$$,60611,IL,Chicago,100 E Walton St,No,Yes
133,Crisp,(773) 697-7610,4.5,$$,60657,IL,Chicago,2940 N Broadway Ave,Yes,Yes
134,Cafe & Bakery,(773) 661-2391,4.5,$,60622,IL,Chicago,939 N Western Ave,Yes,Yes
135,Lula Cafe,(773) 489-9554,4,$$,60647,IL,Chicago,2537 N Kedzie Blvd,No,Yes
136,Scafuri Bakery,(312) 733-8881,4.5,$,60607,IL,Chicago,1337 W Taylor St,Yes,Yes
137,Forno Rosso Pizzeria Napoletana,(312) 243-6000,4.5,$$,60607,IL,Chicago,1048 W Randolph St,Yes,Yes
138,Vegan Plate,(773) 472-8208,4.5,$$,60614,IL,Chicago,1550 W Fullerton Ave,Yes,Yes
139,Stan's Donuts & Coffee,(773) 360-7386,4,$$,60622,IL,Chicago,1560 N Damen Ave,No,Yes
140,The Crab Pad,(773) 360-8332,4.5,$$,60647,IL,Chicago,2529 N Milwaukee Ave,No,Yes
141,Shokolad,(773) 276-6402,4.5,$,60622,IL,Chicago,2524 W Chicago Ave,No,Yes
142,Laschet's Inn,(773) 478-7915,4.5,$$,60618,IL,Chicago,2119 W Irving Park Rd,No,Yes
143,Taza Cafe,(312) 201-9885,4.5,$,60606,IL,Chicago,176 N Franklin St,Yes,Yes
144,Americano 2211,(773) 360-8757,4.5,$$,60647,IL,Chicago,2211 W N Ave,No,Yes
145,Green Street Smoked Meats,(312) 754-0431,4,$$,60607,IL,Chicago,112 N Green St,Yes,Yes
146,DAVIDsTEA,(773) 883-2183,4.5,$$,60614,IL,Chicago,924 W Armitage,No,Yes
147,3 Arts Club Cafe,(312) 475-9116,4.5,$$,60610,IL,Chicago,1300 North Dearborn St,No,No
148,Chilango Mexican Street Food,(312) 846-6216,4.5,$,60607,IL,Chicago,1437 W Taylor St,Yes,Yes
149,Cafe Versailles,(773) 283-8891,4.5,$,60641,IL,Chicago,4102 N Pulaski Ave,No,Yes
150,Prime & Provisions,(312) 726-7777,4.5,$$$$,60601,IL,Chicago,222 N La Salle St,No,Yes
151,Del Seoul,(773) 248-4227,4,$,60614,IL,Chicago,2568 N Clark St,Yes,Yes
152,Beermiscuous,(773) 698-6824,4.5,$$,60657,IL,Chicago,2812 N Lincoln Ave,No,No
153,Cafe Monsivais,(312) 772-8075,4.5,$$,60608,IL,Chicago,1637 W 18th St,No,Yes
154,Momotaro,(312) 733-4818,4,$$$,60607,IL,Chicago,820 W Lake St,No,No
155,Nick's On North,(773) 292-6425,4.5,$,60647,IL,Chicago,3323 W North Ave,No,Yes
156,Cocoa + Co.,(312) 624-8540,5,$$,60614,IL,Chicago,1651 N Wells St,No,Yes
157,The Fat Shallot,(773) 893-0826,4.5,$$,60603,IL,Chicago,125 S Clark St,No,Yes
158,Homeslice,(312) 789-4600,4,$$,60614,IL,Chicago,938 W Webster,Yes,Yes
159,La Fournette,(815) 518-2340,4.5,$$,60610,IL,Chicago,1547 N Wells St,No,Yes
160,Rootstock Wine & Beer Bar,(773) 292-1616,4,$$,60622,IL,Chicago,954 N California Ave,No,No
161,Sultan's Market,(773) 235-3072,4,$,60647,IL,Chicago,2057 W North Ave,Yes,Yes
162,Opart Thai House,(312) 988-0986,4.5,$$,60642,IL,Chicago,1371 W Chicago Ave,Yes,Yes
163,Les Nomades,(312) 649-9010,4.5,$$$$,60611,IL,Chicago,222 E Ontario St,No,No
164,Nando Milano Trattoria,(773) 486-2636,4,$$,60622,IL,Chicago,2114 W Division St,No,Yes
165,Richard's Bar,(312) 733-2251,4.5,$,60654,IL,Chicago,491 N Milwaukee Ave,No,No
166,Cafe Tola,(773) 687-8428,4.5,$,60613,IL,Chicago,3612 N Southport Ave,No,Yes
167,Uncle Mike's Place,(312) 226-5318,4,$$,60622,IL,Chicago,1700 W Grand Ave,Yes,Yes
168,Chicago Theatre,(312) 462-6300,4.5,$$,60601,IL,Chicago,175 N State St,No,No
169,Owen & Engine,(773) 235-2930,4,$$,60647,IL,Chicago,2700 N Western Ave,No,No
170,OZ Park,(312) 742-7898,4.5,0,60614,IL,Chicago,2021 N Burling St,No,No
171,The Gallery Cabaret,(773) 489-5471,4.5,$,60647,IL,Chicago,2020 N Oakley Ave,No,No
172,Caffe Streets,(773) 278-2739,4,$$,60622,IL,Chicago,1750 W Division,No,Yes
173,Tanta,(312) 222-9700,4,$$$,60654,IL,Chicago,118 W Grand Ave,No,No
174,Fruit Paradise,(773) 676-7321,4.5,$,60618,IL,Chicago,3234 N Elston Ave,No,Yes
175,Taqueria Traspasada,(312) 850-2069,4,$,60622,IL,Chicago,811 N Ashland Ave,Yes,Yes
176,Home Bistro,(773) 661-0299,4.5,$$,60657,IL,Chicago,3404 N Halsted St,No,No
177,Brew Brew Coffee Lounge,(773) 687-9498,4.5,$,60647,IL,Chicago,3832 W Diversey Ave,No,Yes
178,Ixcateco Grill,(773) 539-5887,4.5,$$,60618,IL,Chicago,3402 W Montrose Ave,No,Yes
179,Tru,(312) 202-0001,4,$$$$,60611,IL,Chicago,676 N Saint Clair St,No,No
180,Dos Urban Cantina,(773) 661-6452,4.5,$$$,60647,IL,Chicago,2829 W Armitage Ave,Yes,Yes
181,BIG & Little's Restaurant,(773) 857-6677,4,$,60657,IL,Chicago,1034 W Belmont Ave,Yes,Yes
182,CH Distillery,(312) 707-8780,4.5,$$,60661,IL,Chicago,564 W Randolph St,No,No
183,Las Palmas,(773) 289-4991,4,$$,60622,IL,Chicago,1835 W North Ave,Yes,Yes
184,Loba Pastry + Coffee,(773) 456-9266,4.5,$,60657,IL,Chicago,3422 N Lincoln Ave,No,Yes
185,Dawali Mediterranean Kitchen,(312) 944-5800,4,$$,60614,IL,Chicago,1625 N Halsted St,Yes,Yes
186,Ge Pa De Caffe,(312) 332-2200,4.5,$,60603,IL,Chicago,60 E Adams St,No,Yes
187,Papa's Cache Sabroso,(773) 862-8313,4,$,60622,IL,Chicago,2517 W Division St,Yes,Yes
188,Osmium Coffee Bar,(000) 000-0000,4.5,$$,60657,IL,Chicago,1117 W Belmont Ave,No,Yes
189,Zachi,(773) 327-0000,4.5,$,60657,IL,Chicago,1406 W Belmont Ave,Yes,Yes
190,Do-Rite Donuts & Coffee,(312) 344-1374,4.5,$,60611,IL,Chicago,233 E Erie St,Yes,Yes
191,Mexique,(312) 850-0288,4,$$$,60622,IL,Chicago,1529 W Chicago Ave,No,No
192,Yelp Elite Battle Of The Band T's @ RAISED Urban Rooftop Bar,(000) 000-0000,5,0,60601,IL,Chicago,1 West Wacker Dr,No,No
193,Troy Mediterranean Grill,(773) 770-3866,4.5,$$,60657,IL,Chicago,2908 N Broadway Ave,No,Yes
194,Osteria Langhe,(773) 661-1582,4.5,$$,60647,IL,Chicago,2824 W Armitage Ave,No,Yes
195,Fumare Meats & Deli,(312) 930-4220,4.5,$$,60661,IL,Chicago,131 N Clinton St,Yes,Yes
196,Cafe Ba-Ba-Reeba!,(773) 935-5000,4,$$,60614,IL,Chicago,2024 N Halsted St,Yes,Yes
197,Longman & Eagle,(773) 276-7110,4,$$,60647,IL,Chicago,2657 N Kedzie Ave,No,No
198,Standing Passengers,(312) 374-3177,5,$,60642,IL,Chicago,1458 W Chicago Ave,No,Yes
199,Delilah's,(773) 472-2771,4,$,60614,IL,Chicago,2771 N Lincoln Ave,No,No
200,Piece Brewery and Pizzeria,(773) 772-4422,4,$$,60622,IL,Chicago,1927 W North Ave,Yes,Yes
201,Toro Sushi,(773) 348-7255,4,$$,60614,IL,Chicago,2546 N Clark St,No,Yes
202,Cafecito,(312) 922-2233,4.5,$,60605,IL,Chicago,26 E Congress Pkwy,Yes,Yes
203,Nhu Lan Bakery,(773) 878-9898,4.5,$,60625,IL,Chicago,2612 W Lawrence Ave,No,Yes
204,DiSotto Enoteca,(312) 482-8727,4.5,$$,60611,IL,Chicago,200 E Chestnut St,No,No
205,The Cotton Duck,(773) 661-6131,4.5,$$$,60622,IL,Chicago,941 N Damen,No,Yes
206,Giant,(773) 252-0997,4.5,$$$,60647,IL,Chicago,3209 W Armitage Ave,No,No
207,Torta Hacs,(773) 880-8052,4.5,$,60614,IL,Chicago,926 W Diversey Pkwy,Yes,Yes
208,Gather,(773) 506-9300,4.5,$$,60625,IL,Chicago,4539 N Lincoln Ave,No,No
209,Doc B's Fresh Kitchen,(312) 626-1300,4.5,$$,60611,IL,Chicago,100 E Walton St,Yes,Yes
210,Paciugo Lincoln Square,(773) 989-1926,4.5,$,60625,IL,Chicago,2324 W Giddings,No,Yes
211,Blaze Fast-Fire'd Pizza,(773) 348-6255,4.5,$,60657,IL,Chicago,953 W Belmont,No,Yes
212,The Purple Pig,(312) 464-1744,4,$$,60611,IL,Chicago,500 N Michigan Ave,No,No
213,Lake Shore Drive,(000) 000-0000,4.5,0,60611,IL,Chicago,N Lake Shore Dr,No,No
214,Davanti Enoteca,(312) 226-5550,4,$$,60607,IL,Chicago,1359 W Taylor St,No,Yes
215,Knife & Tine,(773) 697-8311,4.5,$$,60614,IL,Chicago,1417 W Fullerton Ave,No,Yes
216,Maude's Liquor Bar,(312) 243-9712,4,$$$,60607,IL,Chicago,840 W Randolph St,No,No
217,The Hideout,(773) 227-4433,4,$,60622,IL,Chicago,1354 W Wabansia Ave,No,No
218,Links Taproom,(773) 360-7692,4,$$,60622,IL,Chicago,1559 N Milwaukee Ave,No,No
219,Real Kitchen,(773) 281-2888,4.5,$$,60613,IL,Chicago,1433 West Montrose,Yes,Yes
220,Cafe Orient 33,(773) 509-6538,4.5,$,60625,IL,Chicago,4829 N Kedzie Ave,Yes,Yes
221,Pastoral,(312) 658-1250,4,$$,60601,IL,Chicago,53 E Lake St,No,Yes
222,Chicago Lakefront Path,(000) 000-0000,4.5,0,60657,IL,Chicago,1600 N Lake Shore Dr,No,No
223,Cornerstone Cafe,(773) 235-1155,4,$,60618,IL,Chicago,2753 N Western Ave,No,Yes
224,The Matchbox,(312) 666-9292,4,$$,60642,IL,Chicago,768 N Milwaukee Ave,No,Yes
225,Dove's Luncheonette,(773) 645-4060,4,$$,60622,IL,Chicago,1545 N Damen Ave,No,No
226,Native Foods Cafe,(773) 549-4904,4.5,$$,60657,IL,Chicago,1023 W Belmont Ave,No,Yes
227,Velvet Taco,(312) 763-2654,4,$$,60610,IL,Chicago,1110 N State St,No,Yes
228,Zam Zam Middle Eastern Grill,(872) 802-3601,4.5,$,60657,IL,Chicago,3461 N Clark St,Yes,Yes
229,Goosefoot,(773) 942-7547,4.5,$$$$,60625,IL,Chicago,2656 W Lawrence Ave,No,No
230,La Scarola,(312) 243-1740,4,$$,60610,IL,Chicago,721 W Grand Ave,No,Yes
231,Asado Coffee,(773) 703-3658,4.5,$,60613,IL,Chicago,1432 W Irving Park Rd,No,Yes
232,Nando's Peri-Peri,(312) 488-3062,4,$$,60607,IL,Chicago,953 W Randolph St,No,Yes
233,Galway Bay,(773) 348-3750,4.5,$,60657,IL,Chicago,500 W Diversey Pkwy,No,No
234,Native Foods Cafe,(312) 332-6332,4.5,$$,60604,IL,Chicago,218 S Clark St,No,Yes
235,New York Delicatessen,(773) 799-8642,4.5,$,60657,IL,Chicago,2921 N Clark St,Yes,Yes
236,CRIO Bar and Restaurant,(773) 525-2100,4.5,$$,60614,IL,Chicago,2506 N Clybourn Ave,No,Yes
237,Handlebar,(773) 384-9546,4,$$,60647,IL,Chicago,2311 W North Ave,No,Yes
238,RPM Steak,(312) 284-4990,4,$$$$,60654,IL,Chicago,66 W. Kinzie St,Yes,Yes
239,Doc B's Fresh Kitchen - River North,(312) 999-9300,4.5,$$,60611,IL,Chicago,55 E Grand Ave,Yes,Yes
240,Sawada Coffee,(312) 754-0431,4.5,$$,60607,IL,Chicago,112 N Green St,No,Yes
241,Carnitas Uruapan Restaurant,(312) 226-2654,4.5,$,60608,IL,Chicago,1725 W 18th St,No,Yes
242,Batter & Berries,(773) 248-7710,4,$$,60614,IL,Chicago,2748 N Lincoln Ave,No,Yes
243,Beatrix River North,(312) 284-1377,4,$$,60654,IL,Chicago,519 North Clark Street,No,Yes
244,Rangoli,(773) 697-7114,4,$$,60647,IL,Chicago,2421 W North Ave,Yes,Yes
245,Snaggletooth,(773) 899-4711,4.5,$$,60657,IL,Chicago,2819 N Southport Ave,No,Yes
246,Gilt Bar,(312) 464-9544,4,$$$,60654,IL,Chicago,230 W Kinzie St,No,No
247,Pequod's Pizzeria,(773) 327-1512,4,$$,60614,IL,Chicago,2207 N Clybourn Av,Yes,Yes
248,Conte Di Savoia,(312) 666-3471,4.5,$,60607,IL,Chicago,1438 W Taylor St,No,Yes
249,Murphy's Red Hots,(773) 935-2882,4.5,$,60657,IL,Chicago,1211 W Belmont Ave,Yes,Yes
250,Will's Northwoods Inn,(773) 528-4400,4.5,$$,60657,IL,Chicago,3030 N Racine Ave,No,Yes
251,Robert's Pizza Company,(708) 536-4597,4.5,$$,60611,IL,Chicago,355 E Ohio St,No,Yes
252,Masa Azul,(773) 687-0300,4.5,$$,60647,IL,Chicago,2901 W Diversey Ave,No,Yes
253,HERO Coffee Bar,(331) 303-8511,4.5,$,60605,IL,Chicago,439 S Dearborn St,Yes,Yes
254,Kuma's Corner,(773) 604-8769,4,$$,60618,IL,Chicago,2900 W Belmont Ave,No,Yes
