Name,Phone,Rate,Price,Zipcode,State,City,Address,Delivery,Takeout,Outdoor,Parking,Wifi
Gene & Jude's Red Hot Stand,(708) 452-7634,4.2,Average $5 for two people (approx.),60171,IL,River Grove,2720 River Road,No,Yes,No,No,No
Slurping Turtle,(312) 464-0466,3.8,Average $70 for two people (approx.)Lunch menu $40 for two people (approx.),60654,IL,Chicago,116 West Hubbard Street,Yes,Yes,Yes,No,No
Mia Francesca,(773) 281-3310,4.3,Average $75 for two people (approx.)Lunch menu $45 for two people (approx.),60657,IL,Chicago,3311 North Clark Street,No,Yes,No,Yes,No
Revolution Brewing,(773) 227-2739,4.5,Average $55 for two people (approx.) with alcohol,60647,IL,Chicago,2323 N Milwaukee Avenue,No,Yes,No,No,No
Urbanbelly,(773) 583-0500,4.2,Average $35 for two people (approx.),60607,IL,Chicago,1400 W Randolph Street,No,Yes,Yes,No,No
M. Henry,(773) 561-1600,4.1,Average $30 for two people (approx.)Lunch menu $25 for two people (approx.),60660,IL,Chicago,5707 N Clark Street,No,Yes,No,No,No
Pizano's Pizza & Pasta,(312) 236-1777,3.9,Average $45 for two people (approx.),60603,IL,Chicago,61 E Madison Street,No,Yes,Yes,No,No
Hugo's Frog Bar & Fish House,(312) 640-0999,4.2,Average $85 for two people (approx.) with alcohol,60611,IL,Chicago,1024 N Rush Street,No,Yes,Yes,No,No
Pizzeria Due,(312) 943-2400,3.8,Average $35 for two people (approx.),60611,IL,Chicago,619 N Wabash Avenue,Yes,Yes,No,No,No
Coast Sushi,(773) 235-5775,4,Average $45 for two people (approx.),60647,IL,Chicago,2045 N Damen Avenue,Yes,Yes,No,No,No
Lou Mitchell's,(312) 939-3111,4.5,Average $30 for two people (approx.),60661,IL,Chicago,565 W Jackson Boulevard,No,Yes,Yes,No,No
Le Colonial,(312) 255-0088,4.3,Average $75 for two people (approx.),60611,IL,Chicago,937 N Rush Street,No,Yes,Yes,No,No
Sultan's Market,(773) 235-3072,4.4,Average $25 for two people (approx.),60647,IL,Chicago,2057 W North Avenue,Yes,Yes,No,No,No
Wildfire,(312) 787-9000,4.3,Average $65 for two people (approx.),60654,IL,Chicago,159 Wine Erie Street,Yes,Yes,No,No,No
Uncommon Ground,(773) 929-3680,4,Average $40 for two people (approx.) with alcohol,60613,IL,Chicago,3800 N Clark Street,No,Yes,Yes,No,No
The Bongo Room,(312) 291-0100,4,Average $35 for two people (approx.),60605,IL,Chicago,1152 S Wabash Avenue,No,Yes,No,No,No
Twin Anchors,(312) 266-1616,4.3,Average $50 for two people (approx.),60614,IL,Chicago,1655 N. Sedgwick Street,No,Yes,Yes,Yes,No
Smoke Daddy,(773) 772-6656,4,Average $45 for two people (approx.),60622,IL,Chicago,1804 W. Division Street,Yes,Yes,Yes,No,No
Crisp,(877) 693-8653,4.4,Average $25 for two people (approx.),60657,IL,Chicago,2940 N Broadway Street,Yes,Yes,No,No,No
Carmine's,(312) 988-7676,3.9,Average $120 for two people (approx.) with alcoholLunch menu $45 for two people (approx.),60611,IL,Chicago,1043 N Rush Street,No,Yes,Yes,No,No
Bavette's Bar and Boeuf,(312) 624-8154,4,Average $85 for two people (approx.),60654,IL,Chicago,218 West Kinzie Street,No,No,Yes,No,No
Miller's Pub,(312) 263-4988,3.8,Average $70 for two people (approx.) with alcohol,60603,IL,Chicago,134 S Wabash Avenue,No,Yes,No,No,No
Uncle Julio's,(312) 266-4222,3.9,Average $75 for two people (approx.)Lunch menu $30 for two people (approx.),60622,IL,Chicago,855 W North Avenue,No,Yes,Yes,Yes,No
Molly's Cupcakes,(773) 883-7220,4.4,Average $15 for two people (approx.),60614,IL,Chicago,2536 N Clark Street,No,Yes,No,No,No
DMK Burger Bar,(773) 360-8686,4.4,Average $45 for two people (approx.) with alcohol,60657,IL,Chicago,2954 N Sheffield Avenue,No,Yes,No,No,No
Mercadito Chicago,(312) 329-9555,4.2,Average $70 for two people (approx.)Lunch menu $50 for two people (approx.),60654,IL,Chicago,108 W Kinzie Street,No,Yes,No,No,No
Bien Trucha,(630) 232-2665,4.2,Average $75 for two people (approx.),60134,IL,Chicago,410 W. State Street,No,Yes,Yes,No,No
Parthenon,(312) 726-2407,3.8,Average $45 for two people (approx.),60661,IL,Chicago,314 S Halsted Street,Yes,Yes,No,No,No
Sweetwater Tavern and Grille,(312) 698-7111,3.9,Average $60 for two people (approx.) with alcohol,60601,IL,Chicago,225 N Michigan Avenue,No,Yes,Yes,No,No
Tortas Frontera,(773) 686-6180,4.2,Average $30 for two people (approx.),60666,IL,Chicago,Terminal 1 O'Hare International Airport,No,Yes,No,No,No
Ann Sather,(773) 348-2378,4.1,Average $25 for two people (approx.),60657,IL,Chicago,909 West Belmont Avenue,No,Yes,No,No,No
The Violet Hour,(773) 252-1500,4,Average $40 for two people (approx.) with alcohol,60622,IL,Chicago,1520 N. Damen Avenue,No,No,No,Yes,No
Meson Sabika,(630) 983-3000,4.2,Average $50 for two people (approx.),60540,IL,Chicago,1025 Aurora Avenue,No,Yes,Yes,No,No
Lao Sze Chuan,(312) 326-5040,3.9,Average $35 for two people (approx.),60616,IL,Chicago,2172 S Archer Avenue,Yes,Yes,No,No,No
GT Fish & Oyster,(312) 929-3501,3.9,Average $65 for two people (approx.),60654,IL,Chicago,531 N Wells Street,No,Yes,No,No,No
The White Chocolate Grill,(630) 505-8300,3.9,Average $35 for two people (approx.),60563,IL,Chicago,1803 Freedom Drive,No,Yes,No,No,No
Al's Cafe & Creamery,(847) 742-1180,4,Average $40 for two people (approx.)Lunch menu $20 for two people (approx.),60120,IL,Chicago,43 Du Page Court,No,Yes,Yes,No,No
Rose Angelis,(773) 296-0081,4.1,Average $50 for two people (approx.),60614,IL,Chicago,1314 W. Wrightwood Avenue,No,Yes,Yes,No,No
Spiaggia,(312) 280-2750,3.9,Average $275 for two people (approx.),60611,IL,Chicago,980 North Michigan Avenue,No,Yes,No,No,No
Roy's,(312) 787-7599,4.1,Average $90 for two people (approx.),60654,IL,Chicago,720 N. State Street,No,Yes,Yes,No,No
Moto,(312) 491-0058,3.7,Average $275 for two people (approx.),60607,IL,Chicago,945 W. Fulton Market,No,Yes,No,No,No
McCormick & Schmick's,(312) 397-9500,3.5,Average $100 for two people (approx.)Lunch menu $60 for two people (approx.),60611,IL,Chicago,41 E Chestnut Street,No,Yes,Yes,No,No
Artopolis,(312) 559-9000,4.1,Average $30 for two people (approx.),60661,IL,Chicago,306 S Halsted Street,No,Yes,No,No,No
Scapa,(630) 323-7000,3.8,Average $50 for two people (approx.),60514,IL,Chicago,1 Walker Avenue,Yes,Yes,Yes,No,No
Atwood,(312) 368-1900,3.7,Average $75 for two people (approx.),60602,IL,Chicago,1 W Washington Street,No,Yes,Yes,No,No
Tru,(312) 202-0001,3.6,Average $300 for two people (approx.),60611,IL,Chicago,676 N. Clair Street,No,Yes,No,No,No
Mexique,(312) 850-0288,4.1,Average $80 for two people (approx.)Lunch menu $30 for two people (approx.),60622,IL,Chicago,1529 W Chicago Avenue,No,Yes,Yes,No,No
Osteria La Madia,(312) 329-0400,4.3,Average $75 for two people (approx.)Lunch menu $45 for two people (approx.),60654,IL,Chicago,59 W Grand Avenue,No,Yes,No,Yes,No
Tweet,(773) 728-5576,4.6,Average $25 for two people (approx.),60640,IL,Chicago,5020 N Sheridan Road,No,Yes,No,No,No
Reza's Restaurant,(773) 561-1898,3.9,Average $50 for two people (approx.)Lunch menu $40 for two people (approx.),60640,IL,Chicago,5255 N. Clark Street,Yes,Yes,Yes,No,No
Epic Burger,(312) 913-1373,4.2,Average $25 for two people (approx.),60605,IL,Chicago,517 S State Street,No,Yes,Yes,No,No
Cantina Laredo,(312) 955-0014,3.8,Average $70 for two people (approx.)Lunch menu $40 for two people (approx.),60654,IL,Chicago,508 North State Street,No,Yes,No,No,No
Tamarind,(312) 379-0970,3.8,Average $40 for two people (approx.),60605,IL,Chicago,614 S Wabash Avenue,Yes,Yes,Yes,No,No
Pappadeaux Seafood Kitchen,(630) 455-9846,4.3,Average $80 for two people (approx.),60559,IL,Westmont,921 Pasquinelli Drive,No,Yes,Yes,No,No
Wow Bao,(312) 642-5888,3.9,Average $20 for two people (approx.),60611,IL,Chicago,835 N Michigan Avenue Level G,No,Yes,No,No,No
Del Seoul,(773) 248-4227,4.4,Average $30 for two people (approx.),60614,IL,Chicago,2568 N Clark Street,Yes,Yes,Yes,No,No
La Scarola,(312) 243-1740,4.3,Average $70 for two people (approx.),60654,IL,Chicago,721 W. Grand Avenue,No,Yes,No,No,No
Noon-O-Kabab,(773) 279-9309 (773) 279-8899,4.3,Average $50 for two people (approx.),60625,IL,Chicago,4661 N. Kedzie Avenue,Yes,Yes,No,No,No
Firkin,(847) 367-6168,4.6,Average $40 for two people (approx.),60048,IL,Libertyville,515 N Milwaukee Avenue,No,Yes,No,No,No
Athena,(312) 655-0000,3.7,Average $55 for two people (approx.),60661,IL,Chicago,212 S Halsted Street,No,Yes,Yes,No,No
The Original Pancake House,(312) 642-7917,4.2,Average $35 for two people (approx.),60611,IL,Chicago,22 E. Bellevue Place,No,Yes,No,No,No
Uncommon Ground,(773) 465-9801,4.2,Average $55 for two people (approx.)Lunch menu $40 for two people (approx.),60660,IL,Chicago,1401 W. Devon Avenue,No,Yes,Yes,No,No
Maya Del Sol,(708) 358-9800,4.2,Average $55 for two people (approx.),60304,IL,Chicago,144 S. Oak Park Avenue,No,Yes,Yes,Yes,No
Chicago Cut Steakhouse,(312) 329-1800,4.2,Average $150 for two people (approx.),60654,IL,Chicago,300 N LaSalle Street,No,Yes,No,No,No
Mon Ami Gabi,(773) 348-8886,4.3,Average $75 for two people (approx.),60614,IL,Chicago,2300 N. Lincoln Park West,No,Yes,Yes,No,No
Jam,(773) 292-6011,3.7,Average $40 for two people (approx.),60647,IL,Chicago,3057 W. Logan Boulevard,No,Yes,Yes,No,No
Table Fifty-Two,(312) 573-4000,3.9,Average $85 for two people (approx.),60610,IL,Chicago,52 W Elm Street,No,No,Yes,No,No
Bistro Campagne,(773) 271-6100,4.2,Average $60 for two people (approx.),60625,IL,Chicago,4518 N Lincoln Avenue,No,Yes,Yes,No,No
Margie's Candies,(773) 348-0400,4.1,Average $15 for two people (approx.),60647,IL,Chicago,1960 N Western Avenue,No,Yes,No,No,No
Wildberry Pancakes & Cafe,(847) 247-7777,4.2,Average $40 for two people (approx.),60048,IL,Libertyville,1783 N Milwaukee Avenue,No,Yes,No,No,No
Nacional 27,(312) 664-2727,3.8,Average $60 for two people (approx.),60610,IL,Chicago,325 W Huron Street,Yes,Yes,Yes,No,No
Sun Wah Bar-B-Q Restaurant,(773) 769-1254,3.8,Average $25 for two people (approx.),60640,IL,Chicago,5039 N Broadway Street,No,Yes,No,No,No
Ras Dashen,(773) 506-9601,4.2,Average $50 for two people (approx.),60660,IL,Chicago,5846 N Broadway Street,No,Yes,Yes,No,No
Pops For Champagne,(312) 266-7677,3.8,Average $100 for two people (approx.) with alcohol,60654,IL,Chicago,601 N. State Street,No,Yes,Yes,No,No
Russian Tea Time,(312) 360-0000,4,Average $150 for two people (approx.),60603,IL,Chicago,77 E Adams Street,No,Yes,No,No,No
Bourgeois Pig,(773) 883-5282,4.1,Average $30 for two people (approx.),60614,IL,Chicago,738 W. Fullerton Avenue,Yes,Yes,Yes,No,No
MingHin Cuisine,(312) 808-1999,4,Average $45 for two people (approx.),60616,IL,Chicago,2168 S Archer Avenue,Yes,Yes,No,No,No
Park Grill,(312) 521-7275,3.7,Average $55 for two people (approx.),60602,IL,Chicago,11 N Michigan Avenue,No,Yes,Yes,No,No
Devon Seafood Grill,(312) 440-8660,3.8,Average $80 for two people (approx.),60611,IL,Chicago,39 E Chicago Avenue,No,Yes,Yes,No,No
Bubba Gump Shrimp Co.,(312) 252-4867,3.7,Average $50 for two people (approx.),60611,IL,Suite131,700 E Grand Avenue,No,Yes,Yes,No,No
Map Room,(773) 252-7636,4.2,Average $30 for two people (approx.) with alcohol,60647,IL,Chicago,1949 N. Hoyne Avenue,No,No,No,No,No
NAHA,(312) 321-6242,3.9,Average $120 for two people (approx.)Lunch menu $70 for two people (approx.),60654,IL,Chicago,500 N Clark Street,No,No,Yes,No,No
Yuzu Sushi and Robata Grill,(312) 666-4100,3.8,Average $50 for two people (approx.),60622,IL,Chicago,1751 W Chicago Avenue,No,Yes,Yes,No,No
Native Foods Café,(312) 332-6332,3.9,Average $30 for two people (approx.),60604,IL,Chicago,218 S Clark Street,No,Yes,No,No,No
Gilt Bar,(312) 464-9544,4.5,Average $60 for two people (approx.),60654,IL,Chicago,230 W Kinzie Street,No,No,Yes,No,No
NoMI Kitchen,(312) 239-4030,3.7,Average $85 for two people (approx.),60611,IL,Chicago,7th Floor Park Hyatt,No,Yes,Yes,No,No
Public House,(312) 265-1240,3.9,Average $50 for two people (approx.) with alcoholLunch menu $40 for two people (approx.),60654,IL,Chicago,400 N State Street,Yes,Yes,No,No,No
Athenian Room,(773) 348-5155,4.3,Average $45 for two people (approx.),60614,IL,Chicago,807 W Webster Avenue,No,Yes,Yes,No,No
Chicago Brauhaus,(773) 784-4444,4.1,Average $35 for two people (approx.) with alcohol,60625,IL,Chicago,4732 N Lincoln Avenue,No,Yes,No,No,No
Yard House,(847) 729-9273,4.4,Average $40 for two people (approx.) with alcohol,60025,IL,Chicago,1880 Tower Drive,Yes,Yes,Yes,No,No
Doughnut Vault,(312) 285-2830,4.1,Average $15 for two people (approx.),60654,IL,Chicago,402 1/2 N Franklin Street,No,Yes,No,No,No
Tank Noodle,(773) 878-2253,4.1,Average $35 for two people (approx.),60640,IL,Chicago,4953-55 N Broadway Street,No,Yes,No,No,No
The Bad Apple,(773) 360-8406,4.2,Average $35 for two people (approx.) with alcohol,60618,IL,Chicago,4300 N Lincoln Avenue,No,Yes,Yes,No,No
New Rebozo Mexican Restaurant,(708) 445-0370,4.1,Average $45 for two people (approx.)Lunch menu $30 for two people (approx.),60302,IL,Oak Park,1116 Madison Street,No,Yes,Yes,No,No
Boka Restaurant & Bar,(312) 337-6070,3.8,Average $130 for two people (approx.),60614,IL,Chicago,1729 N Halsted Street,No,No,Yes,No,No
Village Tavern & Grill,(847) 891-8866,4.7,Average $60 for two people (approx.) with alcohol,60193,IL,Chicago,901 W Wise Road,No,Yes,No,No,No
Bistrot Zinc,(312) 337-1131,4.1,Average $65 for two people (approx.)Lunch menu $50 for two people (approx.),60610,IL,Chicago,1131 N State Street,No,Yes,No,No,No
Coco Pazzo,(312) 836-0900,4,Average $80 for two people (approx.)Lunch menu $45 for two people (approx.),60654,IL,Chicago,300 W Hubbard Street,No,Yes,No,Yes,No
Ethiopian Diamond,(773) 338-6100,4,Average $50 for two people (approx.),60660,IL,Chicago,6120 N. Broadway Street,Yes,Yes,Yes,No,No
Garcia's Restaurant,(773) 769-5600,4,Average $35 for two people (approx.),60625,IL,Chicago,4760 N Lincoln Ave,No,Yes,No,No,No
Elephant & Castle - Central Loop Hotel,(312) 236-6656,3.8,Average $50 for two people (approx.) with alcohol,60603,IL,Chicago,111 W Adams Street Central Loop Hotel,No,Yes,Yes,No,No
Uncle Julio's,(630) 396-3124,3.7,Average $75 for two people (approx.)Lunch menu $30 for two people (approx.),60148,IL,Lombard,2360 Fountain Square Drive,No,Yes,Yes,No,No
Gibsons Bar & Steakhouse,(847) 928-9900,3.8,Average $110 for two people (approx.) with alcoholLunch menu $55 for two people (approx.),60018,IL,Rosemont,5464 N River Road,No,Yes,No,No,No
Cafe Spiaggia,(312) 280-2750,3.7,Average $125 for two people (approx.),60611,IL,Suite 2,980 N Michigan Avenue,No,Yes,No,No,No
Hackney's,(312) 461-1116,4,Average $45 for two people (approx.),60605,IL,Chicago,733 S Dearborn Street,Yes,Yes,Yes,No,No
Art of Pizza,(773) 327-5600,4.3,Average $15 for two people (approx.),60657,IL,Chicago,3033 North Ashland Avenue,Yes,Yes,No,No,No
Timothy O'Toole's,(312) 642-0700,3.8,Average $40 for two people (approx.) with alcohol,60611,IL,Chicago,622 N Fairbanks Court,Yes,Yes,No,No,No
Petterino's,(312) 422-0150,3.9,Average $75 for two people (approx.)Lunch menu $45 for two people (approx.),60601,IL,Chicago,150 N Dearborn Street,No,Yes,No,No,No
Tre Kronor,(773) 267-9888,4.2,Average $55 for two people (approx.),60625,IL,Chicago,3258 W. Foster Avenue,No,Yes,Yes,No,No
Foodlife,(312) 335-3663,4.1,Average $25 for two people (approx.),60611,IL,Chicago,835 N Michigan Avenue,No,Yes,No,No,No
Maggiano's,(312) 644-7700,4,Average $75 for two people (approx.)Lunch menu $50 for two people (approx.),60654,IL,Chicago,516 N Clark Street,No,Yes,Yes,No,No
Cafe Selmarie,(773) 989-5595,4.2,Average $50 for two people (approx.),60625,IL,Chicago,4729 N Lincoln Avenue,No,Yes,Yes,No,No
Geja's Cafe,(773) 281-9101,3.9,Average $275 for two people (approx.),60614,IL,Chicago,340 W Armitage Avenue,No,Yes,No,No,No
Frontier,(773) 772-4322,4,Average $50 for two people (approx.),60642,IL,Chicago,1072 N Milwaukee Avenue,No,Yes,Yes,No,No
Old Town Social,(312) 266-2277,3.8,Average $45 for two people (approx.) with alcohol,60610,IL,Chicago,455 W. North Avenue,No,Yes,Yes,Yes,No
Handlebar,(773) 384-9546,4.1,Average $35 for two people (approx.),60647,IL,Chicago,2311 W North Avenue,No,Yes,Yes,No,No
Firecakes,(312) 329-6500,3.9,Average $5 for two people (approx.),60654,IL,Chicago,68 West Hubbard Street,Yes,Yes,Yes,No,No
Mt. Everest Restaurant,(847) 491-1069,4.2,Average $45 for two people (approx.)Lunch menu $30 for two people (approx.),60201,IL,Chicago,630 Church Street,Yes,Yes,No,No,No
Al Bawadi Restaurant,(708) 599-1999,4.1,Average $50 for two people (approx.),60455,IL,Chicago,7216 W 87th Street,No,Yes,No,No,No
Next,(312) 226-0858,3.5,Average $200 for two people (approx.),60607,IL,Chicago,953 West Fulton Market,No,No,No,Yes,No
Shake Shack,(312) 667-1701,3.8,Average $30 for two people (approx.),60611,IL,Chicago,66 E Ohio Street,No,Yes,Yes,No,No
Ay Ay Picante,(773) 427-4239,4,Average $55 for two people (approx.),60630,IL,Chicago,4569 N. Elston Avenue,No,Yes,No,No,No
