Restaurant Name,Phone,Rate,Price,Zipcode,State,City,Address,Has Delivery,Has Take-out,Has outdoor seating,Parking
The Corner Bar,,4_half,$,60647,IL,Chicago,2224 N Leavitt St,No,No,No,Street
Cafecito,(312) 263-4750,4_half,$,60602,IL,Chicago,7 N Wells St,Yes,Yes,No,Street
Irazu,(773) 252-5687,4,$$,60647,IL,Chicago,1865 N Milwaukee Ave,Yes,Yes,Yes,Street
Vegetarian Express,(773) 880-9155,4_half,$,60657,IL,Chicago,3109 N Halsted St,Yes,Yes,No,Private Lot
The Capital Grille,(312) 337-9400,4_half,$$$,60611,IL,Chicago,633 N Saint Clair St,No,No,No,Valet
The Aviary,(312) 226-0868,4,$$$$,60607,IL,Chicago,955 W Fulton Market,No,No,Yes,"Valet, Street"
Hope Cafe,(312) 857-6499,5,$,60608,IL,Chicago,2431 W Roosevelt Rd,No,Yes,Yes,Street
Boka,(312) 337-6070,4,$$$,60614,IL,Chicago,1729 N Halsted St,No,No,No,Valet
La Strada Cafe Bar,(708) 627-0403,4_half,$,60647,IL,Chicago,2023 N California Ave,No,Yes,Yes,Street
Pierogi Heaven,(312) 263-9305,4_half,$,60606,IL,Chicago,169 N Wells St,Yes,Yes,No,Street
Hendrickx Belgian Bread Crafter,(312) 649-6717,4_half,$$,60611,IL,Chicago,100 E Walton St,No,Yes,Yes,Street
Crisp,(773) 697-7610,4_half,$$,60657,IL,Chicago,2940 N Broadway Ave,Yes,Yes,No,Street
Cafe & Bakery,(773) 661-2391,4_half,$,60622,IL,Chicago,939 N Western Ave,Yes,Yes,Yes,Street
Lula Cafe,(773) 489-9554,4,$$,60647,IL,Chicago,2537 N Kedzie Blvd,No,Yes,Yes,Street
Scafuri Bakery,(312) 733-8881,4_half,$,60607,IL,Chicago,1337 W Taylor St,Yes,Yes,No,Street
Forno Rosso Pizzeria Napoletana,(312) 243-6000,4_half,$$,60607,IL,Chicago,1048 W Randolph St,Yes,Yes,Yes,Street
Vegan Plate,(773) 472-8208,4_half,$$,60614,IL,Chicago,1550 W Fullerton Ave,Yes,Yes,No,Street
Stan’s Donuts & Coffee,(773) 360-7386,4,$$,60622,IL,Chicago,1560 N Damen Ave,No,Yes,No,Street
The Crab Pad,(773) 360-8332,4_half,$$,60647,IL,Chicago,2529 N Milwaukee Ave,No,Yes,No,Street
Shokolad,(773) 276-6402,4_half,$,60622,IL,Chicago,2524 W Chicago Ave,No,Yes,Yes,Street
Laschet’s Inn,(773) 478-7915,4_half,$$,60618,IL,Chicago,2119 W Irving Park Rd,No,Yes,Yes,Street
Taza Cafe,(312) 201-9885,4_half,$,60606,IL,Chicago,176 N Franklin St,Yes,Yes,No,Street
Americano 2211,(773) 360-8757,4_half,$$,60647,IL,Chicago,2211 W N Ave,No,Yes,Yes,Street
Green Street Smoked Meats,(312) 754-0431,4,$$,60607,IL,Chicago,112 N Green St,Yes,Yes,Yes,Street
DAVIDsTEA,(773) 883-2183,4_half,$$,60614,IL,Chicago,924 W Armitage,No,Yes,No,Street
3 Arts Club Cafe,(312) 475-9116,4_half,$$,60610,IL,Chicago,1300 North Dearborn St,No,No,No,Valet
Chilango Mexican Street Food,(312) 846-6216,4_half,$,60607,IL,Chicago,1437 W Taylor St,Yes,Yes,No,Street
Cafe Versailles,(773) 283-8891,4_half,$,60641,IL,Chicago,4102 N Pulaski Ave,No,Yes,No,Street
Prime & Provisions,(312) 726-7777,4_half,$$$$,60601,IL,Chicago,222 N La Salle St,No,Yes,Yes,"Valet, Street"
Del Seoul,(773) 248-4227,4,$,60614,IL,Chicago,2568 N Clark St,Yes,Yes,No,Street
Beermiscuous,(773) 698-6824,4_half,$$,60657,IL,Chicago,2812 N Lincoln Ave,No,No,No,"Street, Private Lot"
Cafe Monsivais,(312) 772-8075,4_half,$$,60608,IL,Chicago,1637 W 18th St,No,Yes,No,Street
Momotaro,(312) 733-4818,4,$$$,60607,IL,Chicago,820 W Lake St,No,No,No,Valet
Nick’s On North,(773) 292-6425,4_half,$,60647,IL,Chicago,3323 W North Ave,No,Yes,No,Private Lot
Cocoa + Co.,(312) 624-8540,5,$$,60614,IL,Chicago,1651 N Wells St,No,Yes,No,Street
The Fat Shallot,(773) 893-0826,4_half,$$,60603,IL,Chicago,125 S Clark St,No,Yes,No,Street
Homeslice,(312) 789-4600,4,$$,60614,IL,Chicago,938 W Webster,Yes,Yes,Yes,Street
La Fournette,(815) 518-2340,4_half,$$,60610,IL,Chicago,1547 N Wells St,No,Yes,Yes,"Street, Validated"
Rootstock Wine & Beer Bar,(773) 292-1616,4,$$,60622,IL,Chicago,954 N California Ave,No,No,Yes,Street
Sultan’s Market,(773) 235-3072,4,$,60647,IL,Chicago,2057 W North Ave,Yes,Yes,Yes,Street
Opart Thai House,(312) 988-0986,4_half,$$,60642,IL,Chicago,1371 W Chicago Ave,Yes,Yes,No,Street
Les Nomades,(312) 649-9010,4_half,$$$$,60611,IL,Chicago,222 E Ontario St,No,No,No,Valet
Nando Milano Trattoria,(773) 486-2636,4,$$,60622,IL,Chicago,2114 W Division St,No,Yes,Yes,"Valet, Street"
Richard’s Bar,(312) 733-2251,4_half,$,60654,IL,Chicago,491 N Milwaukee Ave,No,No,No,Street
Cafe Tola,(773) 687-8428,4_half,$,60613,IL,Chicago,3612 N Southport Ave,No,Yes,Yes,Street
Uncle Mike’s Place,(312) 226-5318,4,$$,60622,IL,Chicago,1700 W Grand Ave,Yes,Yes,Yes,"Street, Private Lot"
Chicago Theatre,(312) 462-6300,4_half,$$,60601,IL,Chicago,175 N State St,No,No,No,Garage
Owen & Engine,(773) 235-2930,4,$$,60647,IL,Chicago,2700 N Western Ave,No,No,Yes,"Garage, Street, Validated"
OZ Park,(312) 742-7898,4_half,,60614,IL,Chicago,2021 N Burling St,No,No,No,Street
The Gallery Cabaret,(773) 489-5471,4_half,$,60647,IL,Chicago,2020 N Oakley Ave,No,No,No,Street
Caffe Streets,(773) 278-2739,4,$$,60622,IL,Chicago,1750 W Division,No,Yes,Yes,Street
Tanta,(312) 222-9700,4,$$$,60654,IL,Chicago,118 W Grand Ave,No,No,Yes,Valet
Fruit Paradise,(773) 676-7321,4_half,$,60618,IL,Chicago,3234 N Elston Ave,No,Yes,No,Street
Taqueria Traspasada,(312) 850-2069,4,$,60622,IL,Chicago,811 N Ashland Ave,Yes,Yes,No,Street
Home Bistro,(773) 661-0299,4_half,$$,60657,IL,Chicago,3404 N Halsted St,No,No,No,Street
Brew Brew Coffee Lounge,(773) 687-9498,4_half,$,60647,IL,Chicago,3832 W Diversey Ave,No,Yes,No,Street
Ixcateco Grill,(773) 539-5887,4_half,$$,60618,IL,Chicago,3402 W Montrose Ave,No,Yes,No,Street
Tru,(312) 202-0001,4,$$$$,60611,IL,Chicago,676 N Saint Clair St,No,No,No,Valet
Dos Urban Cantina,(773) 661-6452,4_half,$$$,60647,IL,Chicago,2829 W Armitage Ave,Yes,Yes,Yes,Street
BIG & Little's Restaurant,(773) 857-6677,4,$,60657,IL,Chicago,1034 W Belmont Ave,Yes,Yes,Yes,Street
CH Distillery,(312) 707-8780,4_half,$$,60661,IL,Chicago,564 W Randolph St,No,No,No,Valet
Las Palmas,(773) 289-4991,4,$$,60622,IL,Chicago,1835 W North Ave,Yes,Yes,Yes,"Valet, Street"
Loba Pastry + Coffee,(773) 456-9266,4_half,$,60657,IL,Chicago,3422 N Lincoln Ave,No,Yes,No,Street
Dawali Mediterranean Kitchen,(312) 944-5800,4,$$,60614,IL,Chicago,1625 N Halsted St,Yes,Yes,No,Street
Ge Pa De Caffe,(312) 332-2200,4_half,$,60603,IL,Chicago,60 E Adams St,No,Yes,Yes,Garage
Papa’s Cache Sabroso,(773) 862-8313,4,$,60622,IL,Chicago,2517 W Division St,Yes,Yes,Yes,Street
Osmium Coffee Bar,,4_half,$$,60657,IL,Chicago,1117 W Belmont Ave,No,Yes,No,Street
Zachi,(773) 327-0000,4_half,$,60657,IL,Chicago,1406 W Belmont Ave,Yes,Yes,No,Street
Do-Rite Donuts & Coffee,(312) 344-1374,4_half,$,60611,IL,Chicago,233 E Erie St,Yes,Yes,Yes,Street
Mexique,(312) 850-0288,4,$$$,60622,IL,Chicago,1529 W Chicago Ave,No,No,No,Street
Yelp Elite Battle Of The Band T’s @ RAISED Urban Rooftop Bar,,5,,60601,IL,Chicago,1 West Wacker Dr,No,No,No,No
Troy Mediterranean Grill,(773) 770-3866,4_half,$$,60657,IL,Chicago,2908 N Broadway Ave,No,Yes,No,Street
Osteria Langhe,(773) 661-1582,4_half,$$,60647,IL,Chicago,2824 W Armitage Ave,No,Yes,Yes,Street
Fumare Meats & Deli,(312) 930-4220,4_half,$$,60661,IL,Chicago,131 N Clinton St,Yes,Yes,Yes,"Garage, Street, Validated"
Cafe Ba-Ba-Reeba!,(773) 935-5000,4,$$,60614,IL,Chicago,2024 N Halsted St,Yes,Yes,Yes,"Valet,  Street"
Longman & Eagle,(773) 276-7110,4,$$,60647,IL,Chicago,2657 N Kedzie Ave,No,No,Yes,"Garage, Street"
Standing Passengers,(312) 374-3177,5,$,60642,IL,Chicago,1458 W Chicago Ave,No,Yes,No,Street
Delilah’s,(773) 472-2771,4,$,60614,IL,Chicago,2771 N Lincoln Ave,No,No,No,Street
Piece Brewery and Pizzeria,(773) 772-4422,4,$$,60622,IL,Chicago,1927 W North Ave,Yes,Yes,No,"Valet, Street"
Toro Sushi,(773) 348-7255,4,$$,60614,IL,Chicago,2546 N Clark St,No,Yes,No,Street
Cafecito,(312) 922-2233,4_half,$,60605,IL,Chicago,26 E Congress Pkwy,Yes,Yes,No,Street
Nhu Lan Bakery,(773) 878-9898,4_half,$,60625,IL,Chicago,2612 W Lawrence Ave,No,Yes,No,Street
DiSotto Enoteca,(312) 482-8727,4_half,$$,60611,IL,Chicago,200 E Chestnut St,No,No,No,"Valet, Street"
The Cotton Duck,(773) 661-6131,4_half,$$$,60622,IL,Chicago,941 N Damen,No,Yes,Yes,Street
Giant,(773) 252-0997,4_half,$$$,60647,IL,Chicago,3209 W Armitage Ave,No,No,No,Street
Torta Haüs,(773) 880-8052,4_half,$,60614,IL,Chicago,926 W Diversey Pkwy,Yes,Yes,No,Street
Gather,(773) 506-9300,4_half,$$,60625,IL,Chicago,4539 N Lincoln Ave,No,No,Yes,Street
Doc B’s Fresh Kitchen,(312) 626-1300,4_half,$$,60611,IL,Chicago,100 E Walton St,Yes,Yes,Yes,Street
Paciugo Lincoln Square,(773) 989-1926,4_half,$,60625,IL,Chicago,2324 W Giddings,No,Yes,Yes,Street
Blaze Fast-Fire’d Pizza,(773) 348-6255,4_half,$,60657,IL,Chicago,953 W Belmont,No,Yes,No,Street
The Purple Pig,(312) 464-1744,4,$$,60611,IL,Chicago,500 N Michigan Ave,No,No,Yes,Street
Lake Shore Drive,,4_half,,60611,IL,Chicago,N Lake Shore Dr,No,No,No,No
Davanti Enoteca,(312) 226-5550,4,$$,60607,IL,Chicago,1359 W Taylor St,No,Yes,No,"Valet, Street"
Knife & Tine,(773) 697-8311,4_half,$$,60614,IL,Chicago,1417 W Fullerton Ave,No,Yes,No,Street
Maude’s Liquor Bar,(312) 243-9712,4,$$$,60607,IL,Chicago,840 W Randolph St,No,No,Yes,Valet
The Hideout,(773) 227-4433,4,$,60622,IL,Chicago,1354 W Wabansia Ave,No,No,Yes,Street
Links Taproom,(773) 360-7692,4,$$,60622,IL,Chicago,1559 N Milwaukee Ave,No,No,Yes,Street
Real Kitchen,(773) 281-2888,4_half,$$,60613,IL,Chicago,1433 West Montrose,Yes,Yes,No,Private Lot
Cafe Orient 33,(773) 509-6538,4_half,$,60625,IL,Chicago,4829 N Kedzie Ave,Yes,Yes,No,Private Lot
Pastoral,(312) 658-1250,4,$$,60601,IL,Chicago,53 E Lake St,No,Yes,Yes,Street
Chicago Lakefront Path,,4_half,,60657,IL,Chicago,1600 N Lake Shore Dr,No,No,No,Street
Cornerstone Cafe,(773) 235-1155,4,$,60618,IL,Chicago,2753 N Western Ave,No,Yes,Yes,Street
The Matchbox,(312) 666-9292,4,$$,60642,IL,Chicago,768 N Milwaukee Ave,No,Yes,Yes,Street
Dove’s Luncheonette,(773) 645-4060,4,$$,60622,IL,Chicago,1545 N Damen Ave,No,No,No,Street
Native Foods Cafe,(773) 549-4904,4_half,$$,60657,IL,Chicago,1023 W Belmont Ave,No,Yes,No,Street
Velvet Taco,(312) 763-2654,4,$$,60610,IL,Chicago,1110 N State St,No,Yes,No,Street
Zam Zam Middle Eastern Grill,(872) 802-3601,4_half,$,60657,IL,Chicago,3461 N Clark St,Yes,Yes,No,Street
Goosefoot,(773) 942-7547,4_half,$$$$,60625,IL,Chicago,2656 W Lawrence Ave,No,No,No,"Street, Private Lot"
La Scarola,(312) 243-1740,4,$$,60610,IL,Chicago,721 W Grand Ave,No,Yes,No,Street
Asado Coffee,(773) 703-3658,4_half,$,60613,IL,Chicago,1432 W Irving Park Rd,No,Yes,No,Street
Nando’s Peri-Peri,(312) 488-3062,4,$$,60607,IL,Chicago,953 W Randolph St,No,Yes,Yes,Street
Galway Bay,(773) 348-3750,4_half,$,60657,IL,Chicago,500 W Diversey Pkwy,No,No,No,Street
Native Foods Cafe,(312) 332-6332,4_half,$$,60604,IL,Chicago,218 S Clark St,No,Yes,No,Street
